scenario,condition,unit_id,location,element,status,scoring_mode,ground_truth,candidate,log_evidence,decision,points,notes
3,baseline,base-S3-s03,step[0] email.send.gmail,message,differ,Semantic,An expense has been added to the expenses sheet. The name is {{row_object.row['Expense name']}} and the amount is {{row_object.row['Expense amount']}} and the date is {{row_object.row['Expense date']}},"An expense has been added to the expenses sheet. The name is {{$json.row[""Expense name""]}}, the amount is {{$json.row[""Expense amount""]}}, and the date is {{$json.row[""Expense date""]}}.",(single-shot; no dialogue),match,1,manual: researcher judgment
3,baseline,base-S3-s03,step[1] email.label.gmail,messageId,differ,Exact,{{send_result.messageId}},{{$json.messageId}},(single-shot; no dialogue),model_error,0,auto: exact mismatch = 0 | auto: baseline exact mismatch
3,pipeline,P2-S3,trigger,pollTimes,differ,Adapter-valid,everyHour,custom,"[configuring_parameters] Q: ""How often would you like us to check your Google Sheet for new expense rows — every minute, or a different interval?"" -> A: ""every 10 min""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
3,pipeline,P2-S3,step[0] email.send.gmail,message,differ,Semantic,An expense has been added to the expenses sheet. The name is {{row_object.row['Expense name']}} and the amount is {{row_object.row['Expense amount']}} and the date is {{row_object.row['Expense date']}},"{{row_object.row['Expense name']}}
{{row_object.row['Expense amount']}}
{{row_object.row['Expense date']}}","[configuring_parameters] Q: ""Should I use the details from the new expense row in your sheet — the expense name, amount, and date — for the email body, or would you like it formatted differently?"" -> A: ""use it as the email body""",participant_divergence,0,manual: user chose values-only body; card sentence omitted
3,pipeline,P2-S3,step[0] email.send.gmail,subject,differ,Semantic,Expense added,expense added,"[configuring_parameters] Q: ""Should the subject line be “expense added”, or would you like to change it?"" -> A: ""expense added""",match,1,manual: researcher judgment
3,pipeline,P2-S3,step[1] email.label.gmail,labelIds,differ,Exact,"[""Label_expenses""]","[""[\""Label_expenses\""]""]","[configuring_parameters] Q: ""Should I apply the Gmail label ID ['Label_expenses'] to the sent email, or would you like to change it? (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: ""yes use that ID""",system_error,0,auto: exact mismatch = 0 | manual: double-encoded list (serialization bug)
3,pipeline,P4-S3,trigger,pollTimes,differ,Adapter-valid,everyHour,everyMinute,"[configuring_parameters] Q: ""How often would you like me to check the Expenses sheet for new rows? The default is every minute."" -> A: ""every minute""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
3,pipeline,P4-S3,step[0] email.send.gmail,message,differ,Semantic,An expense has been added to the expenses sheet. The name is {{row_object.row['Expense name']}} and the amount is {{row_object.row['Expense amount']}} and the date is {{row_object.row['Expense date']}},"An expense has been added to the expenses sheet. The name is {{row_object.row[""Expense name""]}}, the amount is {{row_object.row[""Expense amount""]}}, and the date is {{row_object.row[""Expense date""]}}.","[configuring_parameters] Q: ""Should the email message be: “An expense has been added to the expenses sheet. The name is [Expense name], the amount is [Expense amount], and the date is [Expense date].” ? (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: ""yes""",match,1,manual: researcher judgment
3,pipeline,P4-S3,step[1] email.label.gmail,labelIds,differ,Exact,"[""Label_expenses""]","[""[\""Label_expenses\""]""]","[configuring_parameters] Q: ""Should I apply the Gmail label ID ['Label_expenses'] to the sent email, or would you like to change it? (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: ""yes apply it""",system_error,0,auto: exact mismatch = 0 | manual: double-encoded list (serialization bug)
4,baseline,base-S4-s01,step[0] email.send.gmail,message,differ,Semantic,"Dear finance department, 

Something with the following name: {{file_object.name}} was added to the guideline folder. Please check whether this is correct. See the following link: {{file_object.webViewLink}}

","Dear finance department, a new file was added to the guideline folder. Please check whether this is correct.

File name: {{$json.name}}
File link: {{$json.webViewLink}}",(single-shot; no dialogue),match,1,manual: researcher judgment
4,baseline,base-S4-s02,step[0] email.send.gmail,message,differ,Semantic,"Dear finance department, 

Something with the following name: {{file_object.name}} was added to the guideline folder. Please check whether this is correct. See the following link: {{file_object.webViewLink}}

","Dear finance department, a new file was added to the guideline folder. Please check whether this is correct.

File name: {{$json.name}}
File link: {{$json.webViewLink}}",(single-shot; no dialogue),match,1,manual: researcher judgment
4,baseline,base-S4-s03,step[0] email.send.gmail,message,differ,Semantic,"Dear finance department, 

Something with the following name: {{file_object.name}} was added to the guideline folder. Please check whether this is correct. See the following link: {{file_object.webViewLink}}

","Dear finance department, a new file was added to the guideline folder. Please check whether this is correct.

File name: {{$json.name}}
File link: {{$json.webViewLink}}",(single-shot; no dialogue),match,1,manual: researcher judgment
4,pipeline,P2-S4,trigger,pollTimes,differ,Adapter-valid,everyMinute,everyHour,"[configuring_parameters] Q: ""How often would you like me to check the ""guidelines"" folder for new files — every minute, or a different interval?"" -> A: ""every hour""",participant_divergence,1,auto: catalogue-valid | manual: researcher judgment
4,pipeline,P2-S4,step[0] email.send.gmail,message,differ,Semantic,"Dear finance department, 

Something with the following name: {{file_object.name}} was added to the guideline folder. Please check whether this is correct. See the following link: {{file_object.webViewLink}}

",Link to the file: {{file_object.webViewLink}}.,"[configuring_parameters] Q: ""Should the email message say: “A new file was added to the guidelines folder. File name: [name]” — or would you like to change it? (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: """"Link to the file: [url to the file].""""",participant_divergence,0,manual: user replaced body with link-only
4,pipeline,P2-S4,step[0] email.send.gmail,subject,differ,Semantic,Guideline added,guidline added,"[configuring_parameters] Q: ""Should the email subject be ""guidline added"", or would you like to change it?"" -> A: ""yes this is a good subject""",match,1,manual: researcher judgment
4,pipeline,P4-S4,step[0] email.send.gmail,message,differ,Semantic,"Dear finance department, 

Something with the following name: {{file_object.name}} was added to the guideline folder. Please check whether this is correct. See the following link: {{file_object.webViewLink}}

","Dear finance department, a new file was added to the guideline folder. Please check whether this is correct. Link to the file: {{file_object.webViewLink}}","[configuring_parameters] Q: ""Should the email body be: “Dear finance department, a new file was added to the guideline folder. Please check whether this is correct. Link to the file: [webViewLink]” — or would you like to change it? (The bracketed parts — like [Expense name] — will be automatically replaced with the real values when the automation runs.)"" -> A: ""yes keep it""",system_error,0,"manual: file name omitted from body (system-proposed, user accepted)"
4,pipeline,P4-S4,step[0] email.send.gmail,subject,differ,Semantic,Guideline added,guideline added,"[configuring_parameters] Q: ""Should the subject line be ""guideline added"", or would you like to change it?"" -> A: ""no keep it""",match,1,manual: researcher judgment
